Site,Country,Lat,Lon,Rainfall,CWD,RS,CEC,FC,LU,,AGB,%AGB,Age,Age_min,Age_max,Ref.
Bolpebra,Bolivia,-11.44,-69.16,1800,-301,55,6.4,80,SC,,193.2,63.5,4-47,4,47,44
El Tigre,Bolivia,-11.98,-65.72,1780,-375,66,5.8,90,SC,,145.0,32.3,3-25,3,25,45
El Turi,Bolivia,-11.75,-67.33,1833,-288,58,5.8,95,SC,,129.4,47.8,2-40,2,40,45
Salvatierra,Bolivia,-15.50,-63.03,1200,-642,61,4.0,70,SC,,38.3,29.5,1-36,1,36,46
San Lorenzo,Bolivia,-16.70,-61.87,1129,-718,59,4.5,40,SC,,82.8,64.5,3-50,3,50,47
Surutu 1,Bolivia,-17.50,-63.50,1600,-496,54,6.1,45,SC,,60.5,,4-20,4,20,48
Surutu 2,Bolivia,-17.50,-63.50,1600,-496,54,6.1,45,SC,,154.3,,6-25,6,25,48
Bahia,Brazil,-14.48,-39.09,2000,-7,17,6.6,80,SC,,96.7,25.4,10-40,10,40,49
Cajueiro,Brazil,-14.98,-43.90,840,-907,96,13.8,80,PA,,52.2,,15-59,15,59,
Serra do Cipo,Brazil,-19.35,-43.62,1519,-341,86,5.4,60,PA,,130.3,,8-50,8,50,
Eastern Para 1,Brazil,-4.26,-47.73,1898,-548,88,7.8,50,SC & PA,,168.2,,5-25,5,25,50
Eastern Para 2,Brazil,-2.16,-47.38,2460,-274,64,4.6,52,SC & PA,,224.7,,5-40,5,40,50
Eastern Para 3,Brazil,-1.17,-47.75,2785,-306,68,4.3,58,PA,,176.5,,2-70,2,70,50
Manaus (Cecropia pathway),Brazil,-2.35,-60.00,2400,-16,32,2.0,100,SC,,181.2,55.8,5-31,5,31,51
Manaus (Vismia pathway),Brazil,-2.35,-60.00,2400,-16,32,2.0,100,PA,,140.6,43.3,2-25,2,25,51
Mata Seca,Brazil,-14.86,-43.99,825,-914,95,3.5,80,PA,,58.8,,14-58,14,58,52
Patos,Brazil,-7.02,-37.25,750,-1276,116,11.2,60,SC & PA,,20.3,,22-64,22,64,53
Rio Madeira (anthropogenic soil),Brazil,-5.77,-61.43,2507,-109,46,3.4,79,SC,,187.9,74.4,5-30,5,30,54
Rio Madeira (oxisol),Brazil,-5.77,-61.43,2507,-109,46,4.7,79,SC,,159.2,56.2,6.5-30,6.5,30,54
Sao Paulo,Brazil,-22.32,-47.57,1367,-297,72,10.2,31,PA,,123.2,35.7,11-45,11,45,
Araracuara,Colombia,-0.60,-72.37,3059,-13,29,9.7,95,SC,,134.5,39.2,2-30,2,30,55
Providencia Island,Colombia,13.35,-81.35,1584,,,31.8,60,SC & PA,,135.9,,6-56,6,56,56
San Carlos,Colombia,1.93,-67.05,3565,0,23,5.8,80,SC,,84.6,35.5,9-80,9,80,57
Santa Rosa (oak forest),Costa Rica,10.89,-85.60,1765,-608,91,32.4,70,PA,,161.3,,5-70,5,70,58
Palo Verde,Costa Rica,10.36,-85.31,1444,-622,88,39.0,70,PA,,142.9,,7-60,7,60,58
Santa Rosa,Costa Rica,10.86,-85.61,1765,-621,93,32.4,70,PA,,170.9,84.9,6-70,6,70,58
Sarapiqui (Chazdon),Costa Rica,10.43,-83.98,4000,0,29,29.0,77,PA,,171.5,59.6,10-41,10,41,59
Sarapiqui (Letcher),Costa Rica,10.43,-83.98,4000,0,29,29.0,77,PA,,145.4,76.6,10-42,10,42,60
Chajul,Mexico,16.07,-90.75,3000,-248,62,10.8,50,SC,,105.3,59.4,0-27,0,27,61
Chamela,Mexico,19.50,-105.05,788,-905,109,21.0,60,PA,,34.8,49.9,3-15,3,15,62
Chinantla,Mexico,17.75,-96.65,3700,-596,83,10.1,95,SC,,155.7,63.8,5-50,5,50,
El Ocote 1,Mexico,16.96,-93.63,1500,-558,69,26.3,80,SC,,101.4,33.6,2-75,2,75,63
El Ocote 2,Mexico,16.96,-93.63,2000,-558,69,18.6,80,SC,,116.4,62.3,3-75,3,75,63
Lacandona Marques de,Mexico,16.54,-90.96,2500,-325,68,37.0,87,SC & PA,,206.3,,1-31,1,31,
Comillas,Mexico,16.33,-90.67,2250,,,21.4,49,SC & PA,,206.3,,2-50,2,50,
Nizanda,Mexico,16.66,-95.01,878,-1036,102,30.6,64,SC,,34.7,25.4,2-60,2,60,64
Quintana Rao,Mexico,19.31,-88.57,1250,-508,54,64.6,85,SC & PA,,90.0,66.4,2-100,2,100,
Yucatan,Mexico,20.08,-89.55,1100,-601,65,39.9,94,SC,,69.3,66.7,3-70,3,70,65
Zona Norte,Mexico,17.27,-91.66,2750,-213,56,37.0,67,SC & PA,,85.6,,2-52,2,52,
Agua Salud,Panama,9.22,-79.78,2700,-326,57,9.3,70,SC & PA,,81.8,,2-31,2,31,66
Barro Colorado Island,Panama,9.15,-79.85,2600,-319,57,9.3,100,SC & PA,,120.5,59.3,20-100,20,100,67
PucaIIpa,Peru,-8.50,-74.80,1570,-56,34,21.4,43,SC & PA,,99.2,,5-30,5,30,
Cayey,Puerto Rico,18.02,-66.08,2000,-220,41,23.9,50,PA,,110.5,61.8,10-80,10,80,68
El Carite,Puerto Rico,18.08,-66.07,1822,-165,35,20.5,71,PA,,127.7,66.7,4-77,4,77,69
Luguillo,Puerto Rico,18.34,-65.76,2660,-12,31,9.5,75,PA,,150.1,67.8,9-76,9,76,69
